names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,location,area,competitiveness,google,google_analytics,facebook,electoral_level_3
Grant Moody,Texas,County commission,County,Legislative,https://ballotpedia.org/Grant_Moody,http://grantmoody.com/,grantmoody,,,Republican Party,Won,"191,335","102,593",0.536,8,5,3,0,0,0,0,0,0,Bexar County,,0.036,0,0,0,Local
Tommy Calvert,Texas,County commission,County,Legislative,https://ballotpedia.org/Tommy_Calvert,https://www.tommycalvert.com/,votecalvert,,,Democratic Party,Won,"109,323","66,833",0.611,43,4,4,0,7,0,0,0,28,Bexar County,,0.111,4,8,0,Local
Helen Petry Stowe,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Helen_Petry_Stowe,http://www.helenpetrystoweforjudge.com/,,,HelenPetryStowe,Democratic Party,Won,"517,030","295,444",0.571,2,2,0,0,0,0,0,0,0,Bexar County,,0.071,0,0,0,Local
Melissa Saenz,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Melissa_Saenz,https://www.melissaforjudge.com/,,,,Democratic Party,Won,"518,172","294,747",0.569,69,18,0,0,18,0,0,0,33,Bexar County,,0.069,0,2,0,Local
Alfredo Ximenez,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Alfredo_Ximenez,https://judgeximenez.com,,,,Democratic Party,Won,"515,369","294,122",0.571,8,5,0,0,3,0,0,0,0,Bexar County,,0.071,0,0,0,Local
Melanie Lira,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Melanie_Lira,https://www.melanielira.com/,,,,Democratic Party,Won,"517,232","296,497",0.573,24,13,0,0,3,0,0,0,8,Bexar County,,0.073,0,0,0,Local
Ashley Foster,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Ashley_Foster,https://ashleyforjustice.com/,,,,Republican Party,Lost,"516,217","220,617",0.427,6,3,0,0,3,0,0,0,0,Bexar County,,0.073,0,0,0,Local
Jamie Mathis,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Jamie_Mathis,https://www.jamiemathislaw.com/,,,JamieMathis,Republican Party,Lost,"515,844","226,175",0.438,39,15,0,0,11,0,0,0,13,Bexar County,,0.062,0,0,0,Local
Erica Peña,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Erica_Pe%C3%B1a,https://www.penaforjudge.com/,penaforjudge,,,Democratic Party,Won,"516,934","290,198",0.561,51,12,0,0,7,0,0,0,32,Bexar County,,0.061,0,0,0,Local
Yolanda Huff,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Yolanda_Huff,https://judgeyolandahuff.com/,,,,Democratic Party,Won,"515,762","292,597",0.567,11,8,0,0,3,0,0,0,0,Bexar County,,0.067,0,0,0,Local
Charles Gold,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Charles_Gold,https://www.gold4judge.com,,,,Republican Party,Lost,"515,838","220,869",0.428,45,16,0,0,7,0,0,0,22,Bexar County,,0.072,0,0,0,Local
Melissa Vara,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Melissa_Vara,https://www.votemelissavara.com/,votemelissavara,,,Democratic Party,Won,"515,694","300,485",0.583,53,15,0,0,5,0,0,0,33,Bexar County,,0.083,0,0,0,Local
Mary Lou Alvarez,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Mary_Lou_Alvarez,https://www.judgealvarez.com,alvarez_judge,,,Democratic Party,Won,"518,541","292,497",0.564,71,18,3,0,9,0,0,0,41,Bexar County,,0.064,0,0,0,Local
Patricia Jay,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Patricia_Jay,https://www.pj4judge.com,,,,Republican Party,Lost,"518,541","226,044",0.436,21,7,2,0,3,0,0,0,9,Bexar County,,0.064,0,0,0,Local
Monique Diaz,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Monique_Diaz,https://judgemoniquediaz.com/,JudgeDiazTX,,,Democratic Party,Won,"518,036","299,385",0.578,105,22,4,0,33,3,0,0,43,Bexar County,,0.078,10,9,12,Local
Scott Bradney,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Scott_Bradney,https://scottbradney.com,,,,Republican Party,Lost,"518,036","218,651",0.422,6,3,0,0,3,0,0,0,0,Bexar County,,0.078,0,0,0,Local
Kristina Escalona,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Kristina_Escalona,https://escalonaforjudge.com/,,,,Democratic Party,Won,"517,002","295,297",0.571,9,8,1,0,0,0,0,0,0,Bexar County,,0.071,0,0,0,Local
Daphne Previti Austin,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Daphne_Previti_Austin,https://electdaphne.com/,,,,Republican Party,Lost,"517,002","221,705",0.429,7,4,0,0,3,0,0,0,0,Bexar County,,0.071,0,0,0,Local
Stephanie R. Boyd,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Stephanie_R._Boyd,https://re-electjudgeboyd.com/,,,,Democratic Party,Won,"517,244","296,546",0.573,19,4,4,0,0,0,0,0,11,Bexar County,,0.073,0,0,0,Local
Marisa Flores,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Marisa_Flores,https://marisaforjudge.com/,,,,Democratic Party,Won,"518,468","290,012",0.559,9,4,0,0,5,0,0,0,0,Bexar County,,0.059,0,0,0,Local
Christine Hortick,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Christine_Hortick,https://votechristine.com,,,CVHortick,Democratic Party,Won,"517,798","290,509",0.561,10,5,0,0,5,0,0,0,0,Bexar County,,0.061,0,0,0,Local
Renee Yanta,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Renee_Yanta,https://reneeforjudge.com,,,,Republican Party,Lost,"517,798","227,289",0.439,30,14,5,0,2,0,0,0,9,Bexar County,,0.061,0,0,0,Local
Christine Del Prado,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Christine_Del_Prado,https://christinedelprado.com/,ChristineDelPr4,,,Democratic Party,Won,"517,645","291,423",0.563,13,6,0,0,6,0,0,0,1,Bexar County,,0.063,1,0,0,Local
Nadine Nieto,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Nadine_Nieto,https://nadineforjudge.com,,,,Democratic Party,Won,"516,625","293,746",0.569,36,12,1,0,8,0,0,0,15,Bexar County,,0.069,0,0,0,Local
Cynthia Marie Chapa,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Cynthia_Marie_Chapa,https://www.chapafor288.com/,Chapa4288,,,Democratic Party,Won,"516,416","297,640",0.576,25,3,3,0,3,0,0,0,16,Bexar County,,0.076,4,12,0,Local
Art Rossi,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Art_Rossi,http://www.artrossi.com/,,,,Republican Party,Lost,"516,416","218,776",0.424,126,4,0,0,15,0,0,0,107,Bexar County,,0.076,17,18,0,Local
Julie Bray Patterson,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Julie_Bray_Patterson,https://www.juliebraypatterson.com/,JulieforJudge,,,Republican Party,Won,"190,850","105,286",0.552,2,0,0,0,2,0,0,0,0,Bexar County,,0.052,0,0,0,Local
Mike Gould,Texas,District clerk,County,Executive,https://ballotpedia.org/Mike_Gould,https://www.mikegould2022.com/,,,,Republican Party,Won,"350,648","202,766",0.578,26,7,4,0,3,0,0,0,12,Collin County,,0.078,4,8,0,Local
David Brignac,Texas,District clerk,County,Executive,https://ballotpedia.org/David_Brignac,https://david4collincounty.org,,,,Democratic Party,Lost,"350,648","147,882",0.422,1,0,0,0,1,0,0,0,0,Collin County,,0.078,0,0,0,Local
Duncan Webb,Texas,County commission,County,Legislative,https://ballotpedia.org/Duncan_Webb,https://duncanwebb.org/,,,,Republican Party,Won,"96,513","51,336",0.532,45,13,4,0,5,0,0,0,23,Collin County,,0.032,14,8,0,Local
Chris Hill,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Chris_Hill,https://www.chrishill.us/,judgechrishilI,,,Republican Party,Won,"353,152","201,547",0.571,21,5,0,0,4,0,0,0,12,Collin County,,0.071,2,8,0,Local
Joshua Murray,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Joshua_Murray,https://www.accountablecollincounty.com/,Murray4CCJudge,,,Democratic Party,Lost,"353,152","151,605",0.429,6,3,3,0,0,0,0,0,0,Collin County,,0.071,0,0,0,Local
Ellen Skinner,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Ellen_Skinner,https://ellenskinner.com/,,,,Republican Party,Won,"39,515","25,122",0.636,5,2,0,0,3,0,0,0,0,Collin County,,0.136,0,0,0,Local
Mike Missildine,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Mike_Missildine,https://www.mikemissildine.com,TexasCop1975,,,Republican Party,Won,"125,828","67,224",0.534,43,8,0,0,5,0,0,0,30,Collin County,,0.034,0,0,0,Local
Irvin Barrett,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Irvin_Barrett,https://www.irvinbarrett.com/,barrettforjp3,,,Democratic Party,Lost,"125,828","58,604",0.466,47,8,0,0,5,0,0,0,34,Collin County,,0.034,0,0,0,Local
Pauline Medrano,Texas,Treasurer,County,Executive,https://ballotpedia.org/Pauline_Medrano,http://www.paulinemedrano.com/,,,,Democratic Party,Won,"611,100","374,517",0.613,17,0,0,0,5,0,0,0,12,Dallas County,,0.113,0,0,0,Local
Shelly Akerly,Texas,Treasurer,County,Executive,https://ballotpedia.org/Shelly_Akerly,https://akerlyfordallas.com,,,,Republican Party,Lost,"611,100","236,583",0.387,3,3,0,0,0,0,0,0,0,Dallas County,,0.113,0,0,0,Local
Andrew Sommerman,Texas,County commission,County,Legislative,https://ballotpedia.org/Andrew_Sommerman,https://sommermanforcommissioner.com,AndrewforDallas,,,Democratic Party,Won,"153,327","82,281",0.537,7,3,0,0,3,0,0,0,1,Dallas County,,0.037,0,0,0,Local
J.J. Koch,Texas,County commission,County,Legislative,https://ballotpedia.org/J.J._Koch,https://jjkoch.com,JJKoch,,,Republican Party,Lost,"153,327","71,046",0.463,46,7,0,0,6,0,0,0,33,Dallas County,,0.037,0,0,0,Local
Elba Garcia,Texas,County commission,County,Legislative,https://ballotpedia.org/Elba_Garcia,https://elbagarcia.com/,drelbagarcia,,,Democratic Party,Won,"75,514","56,904",0.754,11,7,3,0,0,0,0,0,1,Dallas County,,0.254,1,0,0,Local
Lynn Davenport,Texas,Community college board of trustees,County,Legislative,https://ballotpedia.org/Lynn_Davenport,http://www.ld4risd.com/,,,,Nonpartisan,Lost,"8,599","3,137",0.365,234,31,0,0,38,7,0,0,158,Dallas County,,0.135,22,31,19,Local
Deanna Hammond,Texas,County constables,County,Executive,https://ballotpedia.org/Deanna_Hammond,https://www.hammondforconstable.com,ForHammond,,,Democratic Party,Won,"118,380","62,614",0.529,36,10,0,0,5,0,0,0,21,Dallas County,,0.029,8,13,0,Local
Vince Griffin,Texas,County constables,County,Executive,https://ballotpedia.org/Vince_Griffin,https://griffin4constable.weebly.com,,,,Republican Party,Lost,"118,380","55,766",0.471,20,4,0,0,7,0,0,0,9,Dallas County,,0.029,0,4,0,Local
Henry Curry,Texas,County constables,County,Executive,https://ballotpedia.org/Henry_Curry,https://curryforconstable.com,henrycurry300,,,Democratic Party,Won,"162,588","85,747",0.527,8,5,0,0,3,0,0,0,0,Dallas County,,0.027,0,0,0,Local
Eddie Brown Jr.,Texas,County constables,County,Executive,https://ballotpedia.org/Eddie_Brown_Jr.,https://eddiebrownjr4constable.com/,,,,Democratic Party,Won,"119,545","70,802",0.592,21,10,7,1,3,0,0,0,0,Dallas County,,0.092,0,0,0,Local
Bryan Woodard,Texas,County constables,County,Executive,https://ballotpedia.org/Bryan_Woodard,https://woodardforconstable.com/,,,,Republican Party,Lost,"119,545","48,743",0.408,17,7,2,0,4,0,0,0,4,Dallas County,,0.092,0,0,0,Local
Gerald Jones,Texas,County constables,County,Executive,https://ballotpedia.org/Gerald_Jones,https://jones4constable.com,,,,Republican Party,Lost,"109,464","33,454",0.306,19,5,0,0,8,1,0,0,5,Dallas County,,0.194,1,0,4,Local
D'Metria Benson,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/D'Metria_Benson,https://www.dmetriabenson.com/,,,,Democratic Party,Won,"610,652","371,329",0.608,5,0,3,0,2,0,0,0,0,Dallas County,,0.108,0,0,0,Local
Dianne Jones,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Dianne_Jones_(Texas),https://diannejonesforjudge.com/,diannej8,,,Democratic Party,Won,"608,382","375,323",0.617,5,4,0,0,1,0,0,0,0,Dallas County,,0.117,0,0,0,Local
Nicole Taylor,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Nicole_Taylor_(Texas),https://nicoletaylorforjudge.com/,,,,Democratic Party,Won,"608,082","378,522",0.622,6,3,0,0,3,0,0,0,0,Dallas County,,0.122,0,0,0,Local
Jordan Montgomery Lewis,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Jordan_Montgomery_Lewis,https://www.lewis4dallas.com,JMLewis4Dallas,,,Republican Party,Lost,"608,082","229,560",0.378,21,10,0,0,3,0,0,0,8,Dallas County,,0.122,0,0,0,Local
Lauren Davis,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Lauren_Davis_(Texas),https://davis4dallas.com,MomsLoveFreedom,,,Republican Party,Lost,"617,342","231,253",0.375,85,17,6,0,9,4,0,0,49,Dallas County,,0.125,12,19,16,Local
Veretta Frazier,Texas,Judicial Office,County,Judicial Office,"https://ballotpedia.org/Veretta_Frazier_(Dallas_County,_Texas)",https://verettafrazierforjudge.com/,,,,Democratic Party,Won,"609,366","374,876",0.615,6,3,0,0,3,0,0,0,0,Dallas County,,0.115,0,0,0,Local
Mary Brown,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Mary_Brown_(Texas_judge),https://writedownmarybrown.com/,,,,Democratic Party,Won,"159,712","57,474",0.36,5,2,0,0,3,0,0,0,0,Dallas County,,0.14,0,0,0,Local
Margaret O'Brien,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Margaret_O'Brien_(Texas),https://mo4jp.com,,,,Democratic Party,Won,"118,415","64,231",0.542,8,5,0,0,3,0,0,0,0,Dallas County,,0.042,0,0,0,Local
Stephen Stanley,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Stephen_W._Stanley,https://www.stephenstanley4jp.com/,,,,Nonpartisan,Lost,"118,415","54,184",0.458,27,3,4,1,11,0,0,0,8,Dallas County,,0.042,0,8,0,Local
Katina Whitfield,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Katina_Whitfield,https://www.katinaforprecinct2.com/,,,,Democratic Party,Won,"118,222","62,581",0.529,85,21,2,0,9,0,0,0,53,Dallas County,,0.029,0,0,0,Local
Adam Swartz,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Adam_Swartz,https://www.swartz4dallasjp.com/,Swartz4DallasJP,,,Democratic Party,Won,"162,873","86,908",0.534,15,4,0,0,3,0,0,0,8,Dallas County,,0.034,4,4,0,Local
Mike Jones,Texas,Judicial Office,County,Judicial Office,"https://ballotpedia.org/Mike_Jones_(Dallas_County,_Texas)",https://www.judgemikejones.com/,,,,Democratic Party,Won,"119,540","73,238",0.613,46,13,1,0,6,0,0,0,26,Dallas County,,0.113,8,13,0,Local
Nicole Frette,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Nicole_Frette,http://www.nicoleforjustice.com,,,,Republican Party,Lost,"119,540","46,302",0.387,26,20,1,0,1,0,0,0,4,Dallas County,,0.113,1,0,0,Local
Angela Brewer,Texas,County clerk,County,Executive,https://ballotpedia.org/Angela_Brewer,https://angelafortexas.com,angelafortexas,,,Democratic Party,Lost,"310,506","128,501",0.414,84,12,0,0,8,4,0,0,60,Denton County,,0.086,24,19,8,Local
Kevin Falconer,Texas,County commission,County,Legislative,https://ballotpedia.org/Kevin_Falconer,https://www.votefalconer.com/,,,kwfalconer,Republican Party,Won,"74,800","41,104",0.55,54,14,0,0,6,0,0,0,34,Denton County,District 2,0.05,1,0,0,Local
Andy Eads,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Andy_Eads,https://andyeads.com,,,,Republican Party,Won,"311,035","184,941",0.595,21,0,3,0,2,0,0,0,16,Denton County,,0.095,0,0,0,Local
Fabian Thomas,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Fabian_Thomas,https://fabian4judge.com,,,,Democratic Party,Lost,"311,035","126,094",0.405,3,0,0,0,2,0,0,0,1,Denton County,,0.095,1,0,0,Local
Alan Wheeler,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Alan_Wheeler,https://wheelerforjp.com,,,,Republican Party,Won,"48,470","26,636",0.55,3,2,1,0,0,0,0,0,0,Denton County,,0.05,0,0,0,Local
Olivia Jeffers,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Olivia_Jeffers,https://www.jeffersforjp1.com,,,,Democratic Party,Lost,"48,470","21,834",0.45,41,9,0,0,7,0,0,2,23,Denton County,,0.05,1,0,0,Local
James R. DePiazza,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/James_R._DePiazza,http://www.reelectjames.com/,,,,Republican Party,Won,"59,526","33,820",0.568,7,5,0,0,2,0,0,0,0,Denton County,,0.068,0,0,0,Local
Sergio Coronado,Texas,County commission,County,Legislative,https://ballotpedia.org/Sergio_Coronado,https://www.sergiocoronado.com/,,,,Democratic Party,Won,"50,576","28,745",0.568,11,5,0,0,2,0,0,0,4,El Paso County,,0.068,2,2,0,Local
Ricardo Samaniego,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Ricardo_Samaniego,https://judgesamaniego.com/,,,EPCountyJudge,Democratic Party,Won,"151,473","103,358",0.682,37,5,4,0,8,4,0,0,16,El Paso County,,0.182,0,0,16,Local
Humberto Enriquez,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Humberto_Enriquez,https://www.helpcarwreck.net/,,,,Democratic Party,Won,"30,273","16,915",0.559,31,11,0,0,12,0,0,0,8,El Paso County,,0.059,0,0,0,Local
Laura Richard,Texas,County clerk,County,Executive,https://ballotpedia.org/Laura_Richard,https://www.lauraforcountyclerk.com/,LauraFBClerk,,,Republican Party,Won,"242,770","122,827",0.506,6,4,0,0,2,0,0,0,0,Fort Bend County,,0.006,0,0,0,Local
Toni Smith,Texas,County clerk,County,Executive,https://ballotpedia.org/Toni_Smith,https://tonivsmith.com,,,,Democratic Party,Lost,"242,770","119,943",0.494,24,10,2,0,2,0,0,0,10,Fort Bend County,,0.006,0,0,0,Local
Bill Rickert,Texas,Treasurer,County,Executive,https://ballotpedia.org/Bill_Rickert,https://rickert.com,BillRickert,,,Republican Party,Won,"242,421","123,305",0.509,79,11,6,0,11,0,0,0,51,Fort Bend County,,0.009,4,16,0,Local
Grady Prestage,Texas,County commission,County,Legislative,https://ballotpedia.org/Grady_Prestage,https://gradyprestage.com/,gradyprestage,,,Democratic Party,Won,"64,741","39,339",0.608,10,10,0,0,0,0,0,0,0,Fort Bend County,,0.108,0,0,0,Local
Melissa M. Wilson,Texas,County commission,County,Legislative,https://ballotpedia.org/Melissa_M._Wilson,https://melissamechelle.org/,MelissaMW_4Pct2,,,Republican Party,Lost,"64,741","25,402",0.392,8,5,0,0,3,0,0,0,0,Fort Bend County,,0.108,0,0,0,Local
Dexter McCoy,Texas,County commission,County,Legislative,https://ballotpedia.org/Dexter_McCoy,https://www.dextermccoy.com/,,,dexterlmccoy,Democratic Party,Won,"48,708","27,108",0.557,86,20,2,0,11,0,0,0,53,Fort Bend County,,0.057,0,0,0,Local
Beverley McGrew Walker,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Beverley_McGrew_Walker,https://beverleywalker.com/,,,,Democratic Party,Won,"242,828","122,148",0.503,4,4,0,0,0,0,0,0,0,Fort Bend County,,0.003,0,0,0,Local
Chris Morales,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Chris_Morales,https://judgemorales.com,judgemorales,,,Republican Party,Won,"242,579","124,417",0.513,34,15,5,0,5,0,0,0,9,Fort Bend County,,0.013,4,4,0,Local
JaPaula Kemp,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/JaPaula_Kemp,https://japaulakemp4judge.com,Kemp4judge,,,Democratic Party,Lost,"242,579","118,162",0.487,3,0,0,0,3,0,0,0,0,Fort Bend County,,0.013,0,0,0,Local
Tyra McCollum,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Tyra_McCollum,https://www.tyraforjudge.com,,,,Democratic Party,Won,"242,264","121,241",0.5,79,15,0,0,7,0,0,0,57,Fort Bend County,,0.0,0,0,0,Local
Juli Mathew,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Juli_Mathew,https://judgejuli.com/,juliforjudge,,,Democratic Party,Won,"242,413","123,116",0.508,6,3,1,0,0,0,0,0,2,Fort Bend County,,0.008,0,0,0,Local
Andrew Dornburg,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Andrew_Dornburg,https://www.dornburgforjudge.com,,,,Republican Party,Lost,"242,413","119,297",0.492,1,0,0,0,1,0,0,0,0,Fort Bend County,,0.008,0,0,0,Local
Courtney Rosen Kovach,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Courtney_Rosen_Kovach,https://www.courtneyrosenkovach.com,,,,Republican Party,Lost,"242,039","120,523",0.498,17,5,1,0,2,0,0,0,9,Fort Bend County,,0.002,9,0,0,Local
Dean Hrbacek,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Dean_Hrbacek,https://deanforccl.com/,,,,Republican Party,Won,"241,918","121,161",0.501,22,18,3,0,1,0,0,0,0,Fort Bend County,,0.001,0,0,0,Local
KP George,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/KP_George,https://www.kpgeorge.com/,JudgeKPGeorge,,_kpgeorge,Democratic Party,Won,"245,910","126,828",0.516,29,13,0,0,8,0,0,0,8,Fort Bend County,,0.016,0,0,0,Local
Trever Nehls,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Trever_Nehls,https://trevernehls.com,,,TreverNehls,Republican Party,Lost,"245,910","119,082",0.484,3,0,0,0,2,0,0,0,1,Fort Bend County,,0.016,1,0,0,Local
Surendran Pattel,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Surendran_Pattel,https://surendran4judge.com/,surendran4judge,,,Democratic Party,Won,"243,330","121,762",0.5,2,2,0,0,0,0,0,0,0,Fort Bend County,,0.0,0,0,0,Local
Edward Krenek,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Edward_Krenek,http://edkrenek.com/,,,,Republican Party,Lost,"243,330","121,568",0.5,3,1,0,0,2,0,0,0,0,Fort Bend County,,0.0,0,0,0,Local
R. O'Neil Williams,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/R._O'Neil_Williams,https://oneilwilliamsforjudge.com,,,,Democratic Party,Lost,"242,461","120,706",0.498,5,3,0,0,2,0,0,0,0,Fort Bend County,,0.002,0,0,0,Local
Monica Rawlins,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Monica_Rawlins,https://monicarawlins4judge.com,,,,Democratic Party,Won,"242,512","121,528",0.501,2,2,0,0,0,0,0,0,0,Fort Bend County,,0.001,0,0,0,Local
Walter Armatys,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Walter_Armatys,http://walterforjudge.com/,,,,Republican Party,Lost,"242,512","120,984",0.499,4,1,0,0,1,0,0,0,2,Fort Bend County,,0.001,0,0,0,Local
Stephen Longoria,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Stephen_Longoria,https://www.stephenlongoriaforjudge.com,,,,Democratic Party,Lost,"242,353","120,973",0.499,24,13,0,0,3,0,0,0,8,Fort Bend County,,0.001,0,0,0,Local
Roderick Garner,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Roderick_Garner,https://garner4justice.com/,,,,Democratic Party,Won,"64,594","39,442",0.611,29,9,4,0,4,0,0,0,12,Fort Bend County,,0.111,4,8,0,Local
Justin Joyce,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Justin_Joyce,https://www.justinjoycejp.com,,,,Republican Party,Lost,"58,140","27,027",0.465,78,13,0,0,9,4,0,0,52,Fort Bend County,,0.035,12,16,16,Local
Teneshia Hudspeth,Texas,County clerk,County,Executive,https://ballotpedia.org/Teneshia_Hudspeth,https://www.teneshiahudspeth.com/,TeneshiaforHC,,,Democratic Party,Won,"1,058,919","546,104",0.516,24,8,0,0,8,0,0,0,8,Harris County,,0.016,0,0,0,Local
Stan Stanart,Texas,County clerk,County,Executive,https://ballotpedia.org/Stan_Stanart,https://vote.stanstanart.com/,,,StanStanart,Republican Party,Lost,"1,058,919","512,815",0.484,6,2,3,0,1,0,0,0,0,Harris County,,0.016,0,0,0,Local
Carla Wyatt,Texas,Treasurer,County,Executive,https://ballotpedia.org/Carla_Wyatt,https://www.drwyattforharriscounty.com/,,,,Democratic Party,Won,"1,059,748","546,661",0.516,78,17,0,0,7,0,0,0,54,Harris County,,0.016,0,0,0,Local
Kyle Scott,Texas,Treasurer,County,Executive,https://ballotpedia.org/Kyle_Scott,https://www.electkylescott.com/,kanthonyscott,,,Republican Party,Lost,"1,059,748","513,087",0.484,3,0,0,0,3,0,0,0,0,Harris County,,0.016,0,0,0,Local
Adrian Garcia,Texas,County commission,County,Legislative,"https://ballotpedia.org/Adrian_Garcia_(Harris_County_Commissioner,_Texas)",http://www.adriangarcia.com/,,,AdrianGarciaHTX,Democratic Party,Won,"201,803","106,184",0.526,52,11,3,0,4,0,0,0,34,Harris County,,0.026,0,0,0,Local
Jack Morman,Texas,County commission,County,Legislative,https://ballotpedia.org/Jack_Morman,https://www.electjackmorman.com/,ElectJackMorman,,,Republican Party,Lost,"201,803","95,619",0.474,32,14,5,0,2,0,0,0,11,Harris County,,0.026,0,0,0,Local
R. Jack Cagle,Texas,County commission,County,Legislative,https://ballotpedia.org/R._Jack_Cagle,https://commissionerjackcagle.com/,RJackCagle,,,Republican Party,Lost,"236,048","114,159",0.484,20,9,3,0,0,0,0,0,8,Harris County,,0.016,2,0,0,Local
Marilyn Burgess,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Marilyn_Burgess,https://www.marilynburgess.com,vote4burgess,,,Democratic Party,Won,"1,060,661","542,634",0.512,61,17,2,0,11,0,0,0,31,Harris County,,0.012,0,0,0,Local
Chris Daniel,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Chris_Daniel,https://www.chrisdaniel.org,daniel4clerk,,,Republican Party,Lost,"1,060,661","518,027",0.488,10,4,5,0,1,0,0,0,0,Harris County,,0.012,0,0,0,Local
Lina Hidalgo,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Lina_Hidalgo,https://linahidalgo.com,LinaHidalgoTX,,,Democratic Party,Won,"1,081,774","549,300",0.508,38,5,0,0,3,4,0,0,26,Harris County,,0.008,8,3,15,Local
Alex Mealer,Texas,Judicial Office,County,Judicial Office,https://ballotpedia.org/Alex_Mealer,https://alexandramealer.com,AlexMealer4HCTX,,,Republican Party,Lost,"1,081,774","532,242",0.492,66,11,4,0,6,4,0,0,41,Harris County,,0.008,8,16,16,Local
